State,Date,New Deaths,Historic Deaths
United States,Feb 23 2021,1709,0
United States,Feb 22 2021,1523,0
United States,Feb 21 2021,1545,0
United States,Feb 20 2021,1895,0
United States,Feb 19 2021,2450,0
United States,Feb 18 2021,2260,0
United States,Feb 17 2021,2192,0
United States,Feb 16 2021,1431,0
United States,Feb 15 2021,1399,0
United States,Feb 14 2021,1554,0
United States,Feb 13 2021,2108,1204
United States,Feb 12 2021,2527,2559
United States,Feb 11 2021,3246,0
United States,Feb 10 2021,2828,0
United States,Feb  9 2021,2439,0
United States,Feb  8 2021,1697,0
United States,Feb  7 2021,1809,0
United States,Feb  6 2021,2773,0
United States,Feb  5 2021,3417,0
United States,Feb  4 2021,3130,0
United States,Feb  3 2021,3317,0
United States,Feb  2 2021,2966,0
United States,Feb  1 2021,2278,0
United States,Jan 31 2021,2292,0
United States,Jan 30 2021,2770,0
United States,Jan 29 2021,3269,0
United States,Jan 28 2021,3865,0
United States,Jan 27 2021,3981,0
United States,Jan 26 2021,3560,0
United States,Jan 25 2021,2129,0
United States,Jan 24 2021,2482,0
United States,Jan 23 2021,2987,0
United States,Jan 22 2021,3688,0
United States,Jan 21 2021,3838,0
United States,Jan 20 2021,3858,0
United States,Jan 19 2021,2757,0
United States,Jan 18 2021,2286,0
United States,Jan 17 2021,2577,0
United States,Jan 16 2021,3526,0
United States,Jan 15 2021,3407,0
United States,Jan 14 2021,3708,0
United States,Jan 13 2021,4071,0
United States,Jan 12 2021,3602,0
United States,Jan 11 2021,2619,0
United States,Jan 10 2021,2563,0
United States,Jan  9 2021,3336,0
United States,Jan  8 2021,3772,0
United States,Jan  7 2021,3981,0
United States,Jan  6 2021,3864,0
United States,Jan  5 2021,3490,0
United States,Jan  4 2021,2092,0
United States,Jan  3 2021,2046,0
United States,Jan  2 2021,2369,0
United States,Jan  1 2021,3023,0
United States,Dec 31 2020,3774,0
United States,Dec 30 2020,3770,0
United States,Dec 29 2020,3360,0
United States,Dec 28 2020,2240,0
United States,Dec 27 2020,1898,0
United States,Dec 26 2020,1649,0
United States,Dec 25 2020,2221,0
United States,Dec 24 2020,3032,0
United States,Dec 23 2020,3209,0
United States,Dec 22 2020,2910,0
United States,Dec 21 2020,2188,0
United States,Dec 20 2020,2091,0
United States,Dec 19 2020,2685,0
United States,Dec 18 2020,2976,0
United States,Dec 17 2020,3347,0
United States,Dec 16 2020,3395,0
United States,Dec 15 2020,2765,0
United States,Dec 14 2020,2018,0
United States,Dec 13 2020,2046,0
United States,Dec 12 2020,2400,0
United States,Dec 11 2020,3203,0
United States,Dec 10 2020,2693,0
United States,Dec  9 2020,3370,0
United States,Dec  8 2020,2549,0
United States,Dec  7 2020,2017,0
United States,Dec  6 2020,1608,0
United States,Dec  5 2020,2339,0
United States,Dec  4 2020,2630,0
United States,Dec  3 2020,2723,0
United States,Dec  2 2020,2784,0
United States,Dec  1 2020,2384,0
United States,Nov 30 2020,1600,0
United States,Nov 29 2020,1291,0
United States,Nov 28 2020,1501,0
United States,Nov 27 2020,1671,0
United States,Nov 26 2020,1670,0
United States,Nov 25 2020,2304,0
United States,Nov 24 2020,1886,0
United States,Nov 23 2020,1463,0
United States,Nov 22 2020,1321,0
United States,Nov 21 2020,1694,0
United States,Nov 20 2020,1993,0
United States,Nov 19 2020,1914,0
United States,Nov 18 2020,1858,0
United States,Nov 17 2020,1590,0
United States,Nov 16 2020,1064,0
United States,Nov 15 2020,1037,0
United States,Nov 14 2020,1457,0
United States,Nov 13 2020,1275,0
United States,Nov 12 2020,1367,0
United States,Nov 11 2020,1518,0
United States,Nov 10 2020,1226,466
United States,Nov  9 2020,952,0
United States,Nov  8 2020,894,0
United States,Nov  7 2020,1073,0
United States,Nov  6 2020,1299,0
United States,Nov  5 2020,1217,0
United States,Nov  4 2020,1308,0
United States,Nov  3 2020,1035,0
United States,Nov  2 2020,751,0
United States,Nov  1 2020,714,0
United States,Oct 31 2020,933,0
United States,Oct 30 2020,932,0
United States,Oct 29 2020,1103,0
United States,Oct 28 2020,1072,0
United States,Oct 27 2020,894,0
United States,Oct 26 2020,701,0
United States,Oct 25 2020,611,0
United States,Oct 24 2020,795,0
United States,Oct 23 2020,947,0
United States,Oct 22 2020,933,0
United States,Oct 21 2020,1044,0
United States,Oct 20 2020,801,0
United States,Oct 19 2020,621,0
United States,Oct 18 2020,746,0
United States,Oct 17 2020,689,0
United States,Oct 16 2020,879,0
United States,Oct 15 2020,715,0
United States,Oct 14 2020,829,0
United States,Oct 13 2020,655,0
United States,Oct 12 2020,508,0
United States,Oct 11 2020,579,0
United States,Oct 10 2020,675,0
United States,Oct  9 2020,790,0
United States,Oct  8 2020,733,0
United States,Oct  7 2020,805,0
United States,Oct  6 2020,641,0
United States,Oct  5 2020,529,0
United States,Oct  4 2020,606,0
United States,Oct  3 2020,544,0
United States,Oct  2 2020,912,0
United States,Oct  1 2020,752,0
United States,Sep 30 2020,689,0
United States,Sep 29 2020,804,0
United States,Sep 28 2020,422,0
United States,Sep 27 2020,502,0
United States,Sep 26 2020,672,0
United States,Sep 25 2020,769,0
United States,Sep 24 2020,747,0
United States,Sep 23 2020,907,0
United States,Sep 22 2020,659,0
United States,Sep 21 2020,580,0
United States,Sep 20 2020,472,0
United States,Sep 19 2020,658,0
United States,Sep 18 2020,823,0
United States,Sep 17 2020,732,0
United States,Sep 16 2020,1107,0
United States,Sep 15 2020,776,0
United States,Sep 14 2020,454,0
United States,Sep 13 2020,746,0
United States,Sep 12 2020,650,0
United States,Sep 11 2020,880,0
United States,Sep 10 2020,846,0
United States,Sep  9 2020,840,0
United States,Sep  8 2020,576,0
United States,Sep  7 2020,420,0
United States,Sep  6 2020,694,0
United States,Sep  5 2020,789,0
United States,Sep  4 2020,929,0
United States,Sep  3 2020,952,0
United States,Sep  2 2020,874,0
United States,Sep  1 2020,857,0
United States,Aug 31 2020,584,0
United States,Aug 30 2020,727,0
United States,Aug 29 2020,820,0
United States,Aug 28 2020,1037,0
United States,Aug 27 2020,960,0
United States,Aug 26 2020,1065,0
United States,Aug 25 2020,890,0
United States,Aug 24 2020,613,0
United States,Aug 23 2020,845,0
United States,Aug 22 2020,998,0
United States,Aug 21 2020,1023,0
United States,Aug 20 2020,995,0
United States,Aug 19 2020,1280,0
United States,Aug 18 2020,942,0
United States,Aug 17 2020,656,0
United States,Aug 16 2020,890,0
United States,Aug 15 2020,942,0
United States,Aug 14 2020,1065,0
United States,Aug 13 2020,1202,0
United States,Aug 12 2020,1341,0
United States,Aug 11 2020,1097,0
United States,Aug 10 2020,823,0
United States,Aug  9 2020,896,0
United States,Aug  8 2020,1043,0
United States,Aug  7 2020,1318,0
United States,Aug  6 2020,1204,0
United States,Aug  5 2020,1266,0
United States,Aug  4 2020,1089,0
United States,Aug  3 2020,890,0
United States,Aug  2 2020,918,0
United States,Aug  1 2020,1125,0
United States,Jul 31 2020,1389,0
United States,Jul 30 2020,1421,0
United States,Jul 29 2020,1168,0
United States,Jul 28 2020,1185,0
United States,Jul 27 2020,953,0
United States,Jul 26 2020,951,0
United States,Jul 25 2020,1142,0
United States,Jul 24 2020,1338,0
United States,Jul 23 2020,1261,0
United States,Jul 22 2020,1195,0
United States,Jul 21 2020,1185,0
United States,Jul 20 2020,880,0
United States,Jul 19 2020,934,0
United States,Jul 18 2020,995,0
United States,Jul 17 2020,1091,0
United States,Jul 16 2020,1082,0
United States,Jul 15 2020,1127,0
United States,Jul 14 2020,925,0
United States,Jul 13 2020,736,0
United States,Jul 12 2020,834,0
United States,Jul 11 2020,887,0
United States,Jul 10 2020,952,0
United States,Jul  9 2020,952,0
United States,Jul  8 2020,1090,0
United States,Jul  7 2020,923,0
United States,Jul  6 2020,627,0
United States,Jul  5 2020,455,0
United States,Jul  4 2020,543,0
United States,Jul  3 2020,812,0
United States,Jul  2 2020,705,0
United States,Jul  1 2020,782,0
United States,Jun 30 2020,640,0
United States,Jun 29 2020,474,0
United States,Jun 28 2020,438,0
United States,Jun 27 2020,576,0
United States,Jun 26 2020,706,0
United States,Jun 25 2020,720,1824
United States,Jun 24 2020,692,0
United States,Jun 23 2020,737,0
United States,Jun 22 2020,496,0
United States,Jun 21 2020,418,0
United States,Jun 20 2020,572,0
United States,Jun 19 2020,744,0
United States,Jun 18 2020,655,0
United States,Jun 17 2020,678,0
United States,Jun 16 2020,669,0
United States,Jun 15 2020,537,0
United States,Jun 14 2020,488,0
United States,Jun 13 2020,684,0
United States,Jun 12 2020,731,0
United States,Jun 11 2020,894,0
United States,Jun 10 2020,869,0
United States,Jun  9 2020,827,0
United States,Jun  8 2020,799,0
United States,Jun  7 2020,586,0
United States,Jun  6 2020,678,0
United States,Jun  5 2020,865,0
United States,Jun  4 2020,876,0
United States,Jun  3 2020,1028,0
United States,Jun  2 2020,939,0
United States,Jun  1 2020,694,0
United States,May 31 2020,684,0
United States,May 30 2020,900,0
United States,May 29 2020,1039,0
United States,May 28 2020,1218,0
United States,May 27 2020,1288,0
United States,May 26 2020,831,0
United States,May 25 2020,681,0
United States,May 24 2020,809,0
United States,May 23 2020,923,0
United States,May 22 2020,1794,0
United States,May 21 2020,1091,0
United States,May 20 2020,1363,0
United States,May 19 2020,1184,0
United States,May 18 2020,966,0
United States,May 17 2020,926,0
United States,May 16 2020,1225,0
United States,May 15 2020,1542,0
United States,May 14 2020,1933,0
United States,May 13 2020,1504,0
United States,May 12 2020,1530,0
United States,May 11 2020,1067,0
United States,May 10 2020,1081,0
United States,May  9 2020,1491,0
United States,May  8 2020,1603,0
United States,May  7 2020,2098,0
United States,May  6 2020,2335,0
United States,May  5 2020,2433,0
United States,May  4 2020,1242,0
United States,May  3 2020,1433,0
United States,May  2 2020,1606,0
United States,May  1 2020,1927,0
United States,Apr 30 2020,2227,0
United States,Apr 29 2020,2414,0
United States,Apr 28 2020,2106,0
United States,Apr 27 2020,1513,0
United States,Apr 26 2020,1552,0
United States,Apr 25 2020,1862,0
United States,Apr 24 2020,2080,0
United States,Apr 23 2020,2002,0
United States,Apr 22 2020,2251,0
United States,Apr 21 2020,2658,0
United States,Apr 20 2020,2056,0
United States,Apr 19 2020,2005,0
United States,Apr 18 2020,1876,0
United States,Apr 17 2020,2322,0
United States,Apr 16 2020,2454,0
United States,Apr 15 2020,2703,0
United States,Apr 14 2020,2472,0
United States,Apr 13 2020,1895,0
United States,Apr 12 2020,1862,0
United States,Apr 11 2020,2203,0
United States,Apr 10 2020,2237,0
United States,Apr  9 2020,2216,0
United States,Apr  8 2020,2244,0
United States,Apr  7 2020,2100,0
United States,Apr  6 2020,1699,0
United States,Apr  5 2020,1871,0
United States,Apr  4 2020,1548,0
United States,Apr  3 2020,1374,0
United States,Apr  2 2020,1311,0
United States,Apr  1 2020,1123,0
United States,Mar 31 2020,990,0
United States,Mar 30 2020,626,0
United States,Mar 29 2020,668,0
United States,Mar 28 2020,560,0
United States,Mar 27 2020,485,0
United States,Mar 26 2020,339,0
United States,Mar 25 2020,301,0
United States,Mar 24 2020,212,0
United States,Mar 23 2020,161,0
United States,Mar 22 2020,123,0
United States,Mar 21 2020,112,0
United States,Mar 20 2020,92,0
United States,Mar 19 2020,69,0
United States,Mar 18 2020,64,0
United States,Mar 17 2020,27,0
United States,Mar 16 2020,21,0
United States,Mar 15 2020,20,0
United States,Mar 14 2020,13,0
United States,Mar 13 2020,11,0
United States,Mar 12 2020,7,0
United States,Mar 11 2020,12,0
United States,Mar 10 2020,7,0
United States,Mar  9 2020,4,0
United States,Mar  8 2020,4,0
United States,Mar  7 2020,5,0
United States,Mar  6 2020,3,0
United States,Mar  5 2020,3,0
United States,Mar  4 2020,4,0
United States,Mar  3 2020,3,0
United States,Mar  2 2020,6,0
United States,Mar  1 2020,0,0
United States,Feb 29 2020,1,0
United States,Feb 28 2020,0,0
United States,Feb 27 2020,1,0
United States,Feb 26 2020,0,0
United States,Feb 25 2020,0,0
United States,Feb 24 2020,0,0
United States,Feb 23 2020,0,0
United States,Feb 22 2020,0,0
United States,Feb 21 2020,0,0
United States,Feb 20 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 18 2020,0,0
United States,Feb 17 2020,0,0
United States,Feb 16 2020,0,0
United States,Feb 15 2020,0,0
United States,Feb 14 2020,0,0
United States,Feb 13 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb 11 2020,0,0
United States,Feb 10 2020,0,0
United States,Feb  9 2020,0,0
United States,Feb  8 2020,0,0
United States,Feb  7 2020,0,0
United States,Feb  6 2020,0,0
United States,Feb  5 2020,0,0
United States,Feb  4 2020,0,0
United States,Feb  3 2020,0,0
United States,Feb  2 2020,0,0
United States,Feb  1 2020,0,0
United States,Jan 31 2020,0,0
United States,Jan 30 2020,0,0
United States,Jan 29 2020,0,0
United States,Jan 28 2020,0,0
United States,Jan 27 2020,0,0
United States,Jan 26 2020,0,0
United States,Jan 25 2020,0,0
United States,Jan 24 2020,0,0
United States,Jan 23 2020,0,0
